100:0.005140,149;0.004953,149;0.004912,149
200:0.013082,188;0.013722,188;0.012957,188
300:0.023738,216;0.023569,216;0.023895,216
400:0.035228,226;0.035346,226;0.036130,226
500:0.037491,204;0.037677,204;0.037457,204
600:0.059100,248;0.059197,248;0.059783,248
700:0.063442,224;0.062673,224;0.064891,224
800:0.077561,240;0.078462,240;0.077788,240
900:0.086699,247;0.088348,247;0.088206,247
1000:0.101500,255;0.100957,255;0.101775,255
