100:0.005293,158;0.005127,158;0.005093,158
200:0.013217,193;0.013544,193;0.013324,193
300:0.024060,219;0.024222,219;0.024138,219
400:0.032274,215;0.032348,215;0.032899,215
500:0.042978,218;0.042522,218;0.042608,218
600:0.056455,242;0.056461,242;0.056915,242
700:0.064465,235;0.064167,235;0.064516,235
800:0.078712,244;0.079430,244;0.078501,244
900:0.089040,247;0.090675,247;0.089651,247
1000:0.103614,257;0.104151,257;0.104673,257
