100:0.004239,163;0.004199,163;0.004186,163
200:0.009983,201;0.009828,201;0.011723,201
300:0.016847,210;0.016419,210;0.015905,210
400:0.025345,223;0.023209,223;0.023384,223
500:0.034655,217;0.029850,217;0.027341,217
600:0.036609,225;0.038944,225;0.041158,225
700:0.049637,243;0.048672,243;0.055621,243
800:0.062239,262;0.060067,262;0.059973,262
900:0.062697,235;0.058833,235;0.062133,235
1000:0.070862,245;0.066208,245;0.076874,245
