100:0.004995,161;0.004913,161;0.004836,161
200:0.013295,188;0.013931,188;0.013425,188
300:0.023673,223;0.024197,223;0.023596,223
400:0.033231,221;0.033671,221;0.033916,221
500:0.043876,213;0.043670,213;0.044996,213
600:0.052681,237;0.052476,237;0.052879,237
700:0.065675,238;0.064818,238;0.065799,238
800:0.079605,255;0.079722,255;0.078744,255
900:0.088472,240;0.090099,240;0.088653,240
1000:0.110714,268;0.110486,268;0.117260,268
