100:0.005591,168;0.005452,168;0.005566,168
200:0.013290,206;0.013052,206;0.013093,206
300:0.023520,206;0.023098,206;0.023619,206
400:0.031053,206;0.030590,206;0.030561,206
500:0.043256,212;0.041979,212;0.041196,212
600:0.052754,232;0.053176,232;0.053880,232
700:0.065371,241;0.065792,241;0.064608,241
800:0.075301,235;0.075513,235;0.074608,235
900:0.087809,248;0.092320,248;0.088807,248
1000:0.109647,265;0.110033,265;0.108996,265
